# EASEL=@xsyetopz/easel@0.7.0	THREE=three@0.185.1	entry=src/Three.Core.js
# columns: state	subject	kind	EASEL	THREE
# state: = both; < EASEL-only; > THREE-only; ! same name but different public shape; EASEL limits: CPU/Canvas2D; affine UV; baked flat/Gouraud; no GPU/shader/PBR/shadow/environment-map surface; limits do not describe THREE core
=	ArcCurve.type	field	instance rw string	instance rw string
<	ArcballCamera	record	type = { /** Camera world position. */ position: Vector3; /** Camera orientation quaternion. */ quaternion: Quaternion; /** Camera up direction. */ up: Vector3; /** Camera world matrix elements. */ matrixWorld: { elements: ArrayLike<number> }; /** Reorients the camera toward a world-space target. */ lookAt: (target: Vector3) => void; /** Recomputes camera world matrices. */ updateMatrixWorld: (...args: boolean[]) => void; }	-
<	ArcballControls	class	class extends EventDispatcher	-
<	ArcballControls.camera	field	instance rw ArcballCamera	-
<	ArcballControls.constructor	constructor	instance (camera: ArcballCamera, domElement: ControlDomElement) => ArcballControls	-
<	ArcballControls.dispose	method	instance () => void	-
<	ArcballControls.domElement	field	instance rw ControlDomElement	-
<	ArcballControls.enablePan	field	instance rw boolean	-
<	ArcballControls.enableRotate	field	instance rw boolean	-
<	ArcballControls.enableZoom	field	instance rw boolean	-
<	ArcballControls.enabled	field	instance rw boolean	-
<	ArcballControls.gizmosVisible	field	instance rw boolean	-
<	ArcballControls.maxDistance	field	instance rw number	-
<	ArcballControls.minDistance	field	instance rw number	-
<	ArcballControls.panSpeed	field	instance rw number	-
<	ArcballControls.reset	method	instance () => void	-
<	ArcballControls.rotateSpeed	field	instance rw number	-
<	ArcballControls.saveState	method	instance () => void	-
<	ArcballControls.setGizmosVisible	method	instance (value: boolean) => void	-
<	ArcballControls.setMouseAction	method	instance (button: number, action: MouseAction) => void	-
<	ArcballControls.target	field	instance rw Vector3	-
<	ArcballControls.update	method	instance () => boolean	-
<	ArcballControls.zoomSpeed	field	instance rw number	-
=	ArrayCamera	class	class extends PerspectiveCamera	class extends PerspectiveCamera
<	ArrayCamera.arrayCameras	field	instance rw PerspectiveCamera[]	-
>	ArrayCamera.cameras	field	-	instance rw Array<PerspectiveCamera>
<	ArrayCamera.clone	method	instance () => ArrayCamera	-
!	ArrayCamera.constructor	constructor	instance ({ arrayCameras = [], fov, aspect, near, far, tileSize, zoom, }: ArrayCameraOptions = {}) => ArrayCamera	instance (array: Array<PerspectiveCamera> = []) => ArrayCamera
<	ArrayCamera.copy	method	instance (source: PerspectiveCamera, recursive: boolean = true) => this	-
=	ArrayCamera.isArrayCamera	field	instance ro boolean	instance ro boolean
=	ArrayCamera.isMultiViewCamera	field	instance ro boolean	instance ro boolean
<	ArrayCamera.type	field	instance rw string	-
<	ArrayCameraOptions	record	interface { arrayCameras?: PerspectiveCamera[]; fov?: number; aspect?: number; near?: number; far?: number; tileSize?: number; zoom?: number }	-
<	ArrowDirection	record	interface { readonly x: number; readonly y: number; readonly z: number }	-
!	ArrowHelper	class	class extends Node	class extends Object3D
<	ArrowHelper.clone	method	instance () => ArrowHelper	-
<	ArrowHelper.color	accessor	instance rw Color	-
!	ArrowHelper.cone	field	instance ro Mesh	instance rw Mesh
!	ArrowHelper.constructor	constructor	instance (options: ArrowHelperOptions = {}) => ArrowHelper	instance (dir: Vector3 = new Vector3( 0, 0, 1 ), origin: Vector3 = new Vector3( 0, 0, 0 ), length: number = 1, color: (number|Color|string) = 0xffff00, headLength: number = length * 0.2, headWidth: number = headLength * 0.2) => ArrowHelper
!	ArrowHelper.copy	method	instance (source: ArrowHelper) => this	instance (source: any) => this
<	ArrowHelper.direction	accessor	instance rw ArrowDirection	-
=	ArrowHelper.dispose	method	instance () => void	instance () => void
<	ArrowHelper.headLength	accessor	instance rw number	-
<	ArrowHelper.headWidth	accessor	instance rw number	-
<	ArrowHelper.isArrowHelper	accessor	instance r true	-
<	ArrowHelper.length	accessor	instance rw number	-
!	ArrowHelper.line	field	instance ro Line	instance rw Line
>	ArrowHelper.setColor	method	-	instance (color: number|Color|string) => void
>	ArrowHelper.setDirection	method	-	instance (dir: Vector3) => void
!	ArrowHelper.setLength	method	instance (length: number, headLength?: number, headWidth?: number) => void	instance (length: number, headLength: number = length * 0.2, headWidth: number = headLength * 0.2) => void
=	ArrowHelper.type	field	instance rw string	instance rw string
<	ArrowHelperOptions	record	interface { readonly direction?: ArrowDirection; readonly origin?: ArrowDirection; readonly length?: number; readonly color?: ColorValue; readonly headLength?: number; readonly headWidth?: number }	-
>	AttachedBindMode	const	-	const string
<	Attribute	class	class	-
<	Attribute.applyMatrix3	method	instance (matrix: Matrix3) => this	-
<	Attribute.applyMatrix4	method	instance (matrix: Matrix4) => this	-
<	Attribute.applyNormalMatrix	method	instance (matrix: Matrix3) => this	-
<	Attribute.array	accessor	instance r AttributeArray	-
<	Attribute.clone	method	instance () => Attribute	-
<	Attribute.constructor	constructor	instance (array: AttributeArray | number[], itemSize: number, normalized: boolean = false) => Attribute	-
<	Attribute.copy	method	instance (source: Attribute) => this	-
<	Attribute.copyArray	method	instance (values: ArrayLike<number>) => this	-
<	Attribute.copyAt	method	instance (destinationIndex: number, source: Attribute, sourceIndex: number) => this	-
<	Attribute.count	accessor	instance r number	-
<	Attribute.getComponent	method	instance (index: number, component: number) => number	-
<	Attribute.getW	method	instance (index: number) => number	-
<	Attribute.getX	method	instance (index: number) => number	-
<	Attribute.getY	method	instance (index: number) => number	-
<	Attribute.getZ	method	instance (index: number) => number	-
<	Attribute.itemSize	accessor	instance r number	-
<	Attribute.name	field	instance rw string	-
<	Attribute.needsUpdate	accessor	instance rw boolean	-
<	Attribute.normalized	accessor	instance r boolean	-
<	Attribute.onUpload	method	instance (callback: () => void) => this	-
<	Attribute.onUploadCallback	field	instance rw (() => void) | undefined	-
<	Attribute.set	method	instance (values: ArrayLike<number>, offset: number = 0) => this	-
<	Attribute.setComponent	method	instance (index: number, component: number, value: number) => this	-
<	Attribute.setUsage	method	instance (value: number) => this	-
<	Attribute.setW	method	instance (index: number, w: number) => this	-
<	Attribute.setX	method	instance (index: number, x: number) => this	-
<	Attribute.setXY	method	instance (index: number, x: number, y: number) => this	-
<	Attribute.setXYZ	method	instance (index: number, x: number, y: number, z: number) => this	-
<	Attribute.setXYZW	method	instance (index: number, x: number, y: number, z: number, w: number) => this	-
<	Attribute.setY	method	instance (index: number, y: number) => this	-
<	Attribute.setZ	method	instance (index: number, z: number) => this	-
<	Attribute.toJSON	method	instance () => { itemSize: number; type: string; array: number[]; normalized: boolean; name?: string; }	-
<	Attribute.transformDirection	method	instance (matrix: Matrix4) => this	-
<	Attribute.usage	field	instance rw number	-
<	AttributeArray	record	type = | Float32Array | Int8Array | Uint8Array | Uint8ClampedArray | Int16Array | Uint16Array | Int32Array | Uint32Array	-
!	Audio	class	class extends Node	class extends Object3D
>	Audio._connected	field	-	instance rw boolean
>	Audio._progress	field	-	instance rw number
>	Audio._startedAt	field	-	instance rw number
<	Audio.applyDetune	method	instance (value: number) => this	-
<	Audio.applyFilter	method	instance (filter: AudioNodeLike | undefined) => this	-
<	Audio.applyLoop	method	instance (value: boolean) => this | undefined	-
<	Audio.applyLoopEnd	method	instance (value: number) => this	-
<	Audio.applyLoopStart	method	instance (value: number) => this	-
<	Audio.applyPlaybackRate	method	instance (value: number) => this | undefined	-
=	Audio.autoplay	field	instance rw boolean	instance rw boolean
!	Audio.buffer	field	instance rw AudioBufferLike | undefined	instance ro ?AudioBuffer
!	Audio.clone	method	instance (recursive: boolean = true) => Audio	instance (recursive: any) => any
!	Audio.connect	method	instance () => this	instance () => Audio
=	Audio.constructor	constructor	instance (listener: AudioListener) => Audio	instance (listener: AudioListener) => Audio
!	Audio.context	field	instance ro AudioContextLike | undefined	instance ro AudioContext
!	Audio.copy	method	instance (source: Audio, recursive: boolean = true) => this	instance (source: any, recursive: any) => this
!	Audio.detune	field	instance rw number	instance ro number
